x: 1, y: 7, z: 4, score: 11197.17909831342
x: 1, y: 7, z: 5, score: 3538.015096902866
x: 1, y: 7, z: 6, score: 5121.090838630076
x: 1, y: 7, z: 7, score: 3841.891326796703
x: 1, y: 7, z: 8, score: 3049.9364276022466
x: 1, y: 7, z: 9, score: 2596.460910419294
x: 1, y: 7, z: 10, score: 3152.8510607760627
x: 1, y: 7, z: 11, score: 6183.756940167448
x: 1, y: 7, z: 12, score: 8004.863142925848
x: 1, y: 7, z: 13, score: 9086.545622568292
x: 1, y: 7, z: 14, score: 20489.091076131608
x: 1, y: 7, z: 15, score: 14682.947497869207
x: 1, y: 7, z: 16, score: 4939.983853584048
x: 1, y: 8, z: 0, score: 8334.460189340547
x: 1, y: 8, z: 1, score: 5107.370400365347
x: 1, y: 8, z: 2, score: 9897.070761005674
x: 1, y: 8, z: 3, score: 13378.205932470995
x: 1, y: 8, z: 4, score: 18366.45576339009
x: 1, y: 8, z: 5, score: 8538.883941908998
x: 1, y: 8, z: 6, score: 3510.22055512186
x: 1, y: 8, z: 7, score: 5250.501571416147
x: 1, y: 8, z: 8, score: 7468.713140109821
x: 1, y: 8, z: 9, score: 6483.260218638847
x: 1, y: 8, z: 10, score: 7838.452287718194
x: 1, y: 8, z: 11, score: 11143.72815445756
x: 1, y: 8, z: 12, score: 6319.149456674496
x: 1, y: 8, z: 13, score: 14572.710583416741
x: 1, y: 8, z: 14, score: 10726.13533976062
x: 1, y: 8, z: 15, score: 9397.857520145693
x: 1, y: 8, z: 16, score: 8967.29709752327
x: 2, y: 0, z: 0, score: 4184.467042218636
x: 2, y: 0, z: 1, score: 1295.1718466286095
x: 2, y: 0, z: 2, score: 2444.5869358040386
x: 2, y: 0, z: 3, score: 10123.298469783911
x: 2, y: 0, z: 4, score: 14046.463335029339
x: 2, y: 0, z: 5, score: 14720.232192604535
x: 2, y: 0, z: 6, score: 13321.095753763864
x: 2, y: 0, z: 7, score: 13287.739881817539
x: 2, y: 0, z: 8, score: 21723.428536961677
x: 2, y: 0, z: 9, score: 13377.141298692422
x: 2, y: 0, z: 10, score: 10883.25214489821
x: 2, y: 0, z: 11, score: 8744.2648901717
x: 2, y: 0, z: 12, score: 10593.559339092073
x: 2, y: 0, z: 13, score: 6088.845762902121
x: 2, y: 0, z: 14, score: 4191.146326038961
x: 2, y: 0, z: 15, score: 3147.4583209996063
x: 2, y: 0, z: 16, score: 6380.913297530329
x: 2, y: 1, z: 0, score: 4281.663645270153
x: 2, y: 1, z: 1, score: 2117.1389284661864
x: 2, y: 1, z: 2, score: 2468.0526606546573
x: 2, y: 1, z: 3, score: 4477.00568186563
x: 2, y: 1, z: 4, score: 5130.1947132293335
x: 2, y: 1, z: 5, score: 11306.614224483948
x: 2, y: 1, z: 6, score: 6904.350180038597
x: 2, y: 1, z: 7, score: 6554.182540822682
x: 2, y: 1, z: 8, score: 13604.591829510095
x: 2, y: 1, z: 9, score: 8616.221284865733
x: 2, y: 1, z: 10, score: 8961.358804624964
x: 2, y: 1, z: 11, score: 5897.962869605405
x: 2, y: 1, z: 12, score: 11372.25290065776
x: 2, y: 1, z: 13, score: 4002.3957451067085
x: 2, y: 1, z: 14, score: 3494.7566107056928
x: 2, y: 1, z: 15, score: 4970.913904904968
x: 2, y: 1, z: 16, score: 8888.954669568833
x: 2, y: 2, z: 0, score: 6966.818434977032
x: 2, y: 2, z: 1, score: 6282.585601110199
